artists,track_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Pako, Jony",Bankomat,polish trap,0.745,0.736,7,-7.164,1,0.308,0.246,0.0,0.128,0.554,130.103,162490,4
"Jony, Duszyn, BAHsick",Błyskawica,polish trap,0.796,0.516,7,-8.615,1,0.157,0.19,0.0,0.118,0.889,149.949,172800,4
"Chłopiec, White Widow, BAHsick",GDZIE TY JESTEŚ,polish underground rap,0.655,0.666,1,-6.858,1,0.512,0.33,0.0,0.329,0.614,92.167,110323,4
Rnbstylerz,Like Wooh Wooh,klubowe,0.813,0.807,10,-5.354,1,0.0845,0.0414,0.815,0.0709,0.577,125.009,196045,4
"Keys N Krates, Ouici",Flute Loop (feat. Ouici),brostep,0.552,0.639,4,-7.42,0,0.0272,0.00411,0.731,0.0796,0.168,142.031,154000,4
"Skrillex, BEAM",Mumbai Power,brostep,0.75,0.931,8,-5.166,1,0.0464,0.00168,0.284,0.249,0.472,140.151,158571,3
"Skrillex, Poo Bear",Would You Ever,brostep,0.653,0.91,10,-3.36,1,0.0566,0.0079,0.0,0.318,0.0921,126.047,234286,4
"Skrillex, Rick Ross",Purple Lamborghini (with Rick Ross),brostep,0.457,0.899,10,-2.591,0,0.132,0.0019,0.0,0.831,0.298,147.268,215510,4
"Higher Brothers, DJ Snake",Made In China,chinese hip hop,0.79,0.779,1,-2.642,1,0.0416,0.00397,0.000155,0.159,0.228,150.115,171733,4
"Zeds Dead, Subtronics, Flowdan",Gassed Up,brostep,0.643,0.985,4,-1.848,0,0.41,0.0152,0.000965,0.311,0.182,140.029,238286,4
"Astrogxral, Macias",Wybory,polish underground rap,0.807,0.622,10,-7.472,1,0.387,0.187,0.0,0.152,0.439,172.951,92962,4
"Belmondawg, Expo 2000",Truteń (Remastered),polish alternative rap,0.738,0.707,10,-9.937,0,0.404,0.313,0.0,0.109,0.0344,77.555,71588,1
Rusina,4 RANO,polish hip hop,0.734,0.733,4,-8.172,0,0.334,0.0271,0.0,0.112,0.144,166.044,130120,4
"matiskater, Acidstanek",ZNOWU,polish trap,0.863,0.573,2,-8.501,1,0.485,0.109,0.0,0.0908,0.542,90.05,153000,4
"Subtronics, HOL!",Tuba Demon - HOL! Remix,brostep,0.691,0.989,1,-1.194,1,0.283,0.00103,0.00327,0.24,0.371,144.831,178478,4
"102 Boyz, BHZ",Bier,german alternative rap,0.886,0.538,2,-5.284,1,0.453,0.00213,0.0,0.054,0.53,150.031,171248,4
"BORCREW, Paluch, Worek",TIRy,polish hip hop,0.72,0.777,0,-8.337,0,0.348,0.614,0.0,0.137,0.652,140.845,204255,4
Capital Bra,Mexican Mafia,german hip hop,0.919,0.781,0,-4.67,1,0.322,0.195,0.0,0.0744,0.718,129.992,155749,4
"Capital Bra, Samra",Click Click,german hip hop,0.813,0.859,11,-3.329,0,0.264,0.115,0.0,0.0708,0.892,149.872,179074,4
"Pokahontaz, Magiera, Kleszcz",All Inclusive,polish hip hop,0.735,0.742,1,-5.865,1,0.126,0.0148,0.0,0.0848,0.533,88.983,227720,4
102 Boyz,Adilette,german alternative rap,0.868,0.762,1,-3.482,1,0.284,0.0516,0.0,0.0734,0.433,148.064,184063,4
"Chapo102, 102 Boyz",EINSZWEIDREIVIER,german hip hop,0.877,0.542,0,-7.036,1,0.385,0.0148,4.14e-06,0.13,0.415,139.948,198987,4
"TroyBoi, Skrillex",WARLORDZ (feat. Skrillex),bass trap,0.627,0.81,1,-6.122,1,0.0906,0.0538,0.486,0.0925,0.233,144.904,198621,4
Kleszcz,Miłego dnia,polish hip hop,0.667,0.718,2,-7.409,1,0.0375,0.00385,0.0,0.0707,0.848,93.974,171000,4
"Kleszcz, Dino",Bajka o kolorach,polish hip hop,0.662,0.814,9,-3.622,1,0.356,0.0743,0.0,0.0396,0.488,77.955,234207,4
"Foreign Beggars, Knife Party",Apex,brostep,0.671,0.96,2,-4.631,1,0.109,0.000109,1.16e-05,0.489,0.486,109.994,220340,4
"Kleszcz, Tymek",Nie bój się,polish hip hop,0.658,0.626,5,-9.891,0,0.0971,0.0102,0.0,0.321,0.332,120.005,236812,4
Kleszcz,Intro (Czerń i biel),polish hip hop,0.684,0.508,10,-7.914,0,0.377,0.157,1.25e-06,0.182,0.509,89.979,123392,4
"Kleszcz, Dino",4 ściany wyobraźni,polish hip hop,0.759,0.754,1,-4.757,1,0.294,0.201,0.0,0.0805,0.603,78.033,211029,4
"Kleszcz, Dino",Iluminacisną Bzdur,polish hip hop,0.723,0.596,7,-8.153,1,0.0649,0.036,0.000248,0.262,0.316,90.022,219168,4
"Kleszcz, Dino, DJ Bambus",Horrym Będę,polish hip hop,0.504,0.621,8,-8.658,0,0.324,0.246,0.000198,0.1,0.319,139.01,362314,4
"Kleszcz, Dino",Szukaj Mnie,polish hip hop,0.784,0.512,7,-8.528,1,0.0933,0.111,0.0,0.0387,0.536,141.963,237159,4
"GRiZ, Subtronics",Griztronics II (Another Level),glitch hop,0.579,0.978,0,0.352,1,0.211,0.0205,0.00829,0.326,0.58,145.054,165517,4
"GRiZ, Subtronics",Griztronics,glitch hop,0.607,0.941,11,-3.807,0,0.481,0.037,0.0137,0.321,0.521,75.401,198400,4
"Oliver Olson, Gibbs, Kacper HTA",Meksyk,polish alternative rap,0.671,0.728,9,-7.475,0,0.317,0.343,0.0,0.0739,0.505,159.853,231000,4
ZetHa,Wszystko albo nic,polish hip hop,0.749,0.765,1,-5.175,1,0.408,0.48,0.0,0.067,0.721,108.319,151049,3
"Matstubs, Jeffrey James",Love You Need You,bass trap,0.845,0.514,10,-8.307,0,0.328,0.0302,9.48e-05,0.144,0.528,84.971,164471,4
Jordan Comolli,Contrast,bass trap,0.503,0.866,6,-4.87,0,0.0392,0.00945,0.842,0.111,0.242,145.023,198629,4
"Kizo, Kabe, ReTo, Gruby Mielzky, Borixon, BeMelo",COLOSSEUM,polish hip hop,0.718,0.754,11,-6.613,0,0.213,0.131,0.0,0.117,0.348,150.015,185600,4
Wanna Wake,Whoja Vu,ukrainian edm,0.658,0.892,1,-5.027,1,0.245,0.00856,0.000397,0.0761,0.375,150.018,188839,4
"Apashe, Panther",No Twerk feat. Panther X Odalisk - Original Mix,bass trap,0.613,0.793,7,-6.095,1,0.0907,0.00152,0.000434,0.244,0.628,174.018,294948,4
"WiDE AWAKE, UNKWN",Ready - UNKWN Remix,bass trap,0.602,0.756,1,-3.564,1,0.0453,0.000321,0.0242,0.141,0.447,150.044,198455,4
